##### Special Ruins

9567 = jungle

9568 = jungle
9569 = jungle
9570 = jungle

9571 = hills

9572 = jungle
9573 = jungle
9574 = jungle
9575 = jungle
9576 = jungle
9577 = jungle

9578 = jungle

9579 = jungle
9580 = jungle
9581 = jungle
9582 = jungle
9583 = jungle

9584 = jungle

9585 = jungle
9586 = jungle
9587 = forest
9588 = jungle
9589 = jungle

9590 = jungle

9591 = jungle
9592 = jungle
9593 = jungle
9594 = jungle
9595 = jungle
9596 = jungle

9445 = jungle

9446 = wetlands
9447 = jungle
9448 = jungle
9449 = wetlands
9450 = wetlands
9451 = wetlands

9599 = forest

9598 = forest
9597 = farmlands
9600 = forest
9601 = jungle
9602 = forest
9603 = plains

	# 10229 is a sea tile

9604 = jungle

9605 = jungle
9606 = jungle
9607 = jungle
9608 = jungle
9609 = jungle

9613 = forest

9611 = forest
9612 = forest
9610 = plains
9614 = forest
9615 = jungle
9616 = jungle

9645 = plains

9646 = forest
9647 = forest
9648 = jungle
9649 = forest
9650 = jungle
9651 = jungle

9653 = forest

9654 = forest
9655 = forest
9656 = forest
9657 = forest
9652 = plains
9658 = jungle

9659 = forest

9660 = jungle
9661 = jungle
9662 = jungle
9663 = jungle
9664 = jungle

9665 = jungle

9666 = jungle
9667 = jungle
9668 = wetlands
9669 = wetlands
9670 = the_bog

9618 = jungle

9617 = jungle
9619 = jungle
9620 = wetlands
9621 = wetlands
9622 = jungle
9623 = wetlands
9624 = wetlands

	# 10277 is a sea tile
	# 10278 is a sea tile
	# 10279 is a sea tile
	# 10280 is a sea tile
	# 10281 is a sea tile
	# 10282 is a sea tile
	# 10283 is a sea tile
	# 10284 is a sea tile
	# 10285 is a sea tile
	# 10286 is a sea tile
	# 10287 is a sea tile

9671 = urban

9672 = forest
9673 = forest
9674 = forest
9675 = jungle
9676 = jungle

9677 = forest

9678 = jungle
9679 = jungle
9680 = jungle
9681 = jungle
9682 = jungle

9683 = forest

9684 = jungle
9685 = jungle
9686 = jungle
9687 = jungle
9688 = jungle

9707 = jungle

9708 = jungle
9709 = jungle
9710 = jungle
9711 = jungle
9712 = jungle
9713 = jungle

9419 = urban
9420 = jungle
9421 = jungle
9422 = jungle
9423 = jungle
9424 = jungle

9425 = forest

9426 = jungle
9427 = jungle
9428 = forest
9429 = jungle
9430 = jungle

9431 = jungle

9432 = jungle
9433 = jungle
9434 = jungle
9435 = jungle
9436 = jungle
9437 = jungle


9793 = plains
9794 = forest
9795 = forest
9796 = forest
9797 = hills
9798 = hills
9799 = hills
9800 = hills
9801 = hills
9802 = hills
9803 = hills
9804 = hills
9805 = forest
9806 = forest
9807 = forest
9808 = forest
9809 = plains
9810 = plains
9811 = forest
9812 = plains
9813 = plains
9814 = plains
9815 = plains
9816 = forest
9817 = forest
9818 = plains
9819 = plains
9820 = plains
9821 = plains
9822 = plains
9823 = plains
9824 = forest
9825 = forest
9826 = forest
9827 = plains
9828 = forest
9829 = plains
9830 = plains
9831 = forest
9832 = forest
9833 = plains
9834 = plains
9835 = plains
9836 = forest
9855 = wetlands
9856 = wetlands
9857 = jungle
9858 = jungle
9859 = wetlands
9860 = jungle
9868 = forest
9869 = jungle
9870 = jungle
9871 = jungle
9872 = jungle
9837 = jungle
9838 = jungle
9839 = jungle
9840 = jungle
9841 = jungle
9842 = jungle
9843 = jungle
9844 = jungle
9845 = jungle
9846 = jungle
9847 = jungle
9848 = jungle
9849 = jungle
9850 = jungle
9851 = jungle
9852 = jungle
9853 = jungle
9854 = jungle
9364 = forest
9365 = plains
9366 = plains
9367 = forest
9368 = plains
9369 = forest
9370 = plains
9371 = plains
9372 = forest
9373 = plains
9374 = forest
9375 = plains
9376 = plains
9377 = forest
9378 = plains
9379 = forest
9380 = forest
9384 = farmlands
9382 = farmlands
9383 = forest
9381 = hills
9385 = plains
9386 = plains
9387 = farmlands
9388 = forest
9389 = plains
9390 = forest
9391 = forest
9392 = plains
9393 = plains
9394 = forest
9395 = jungle
9396 = jungle
9397 = jungle
9398 = forest
9404 = forest
9400 = plains
9401 = forest
9402 = forest
9403 = plains
9399 = farmlands
9405 = forest
9406 = jungle
9407 = jungle
9408 = jungle
9409 = jungle
9410 = jungle
9411 = jungle
9412 = forest
9413 = jungle
9414 = jungle
9415 = jungle
9416 = jungle
9417 = jungle
9418 = jungle
9714 = jungle
9715 = jungle
9716 = jungle
9717 = jungle
9718 = jungle
9719 = jungle
9720 = forest
9721 = forest
9722 = jungle
9723 = jungle
9724 = jungle
9725 = jungle
9726 = jungle
9727 = jungle
9728 = jungle
9729 = jungle
9730 = jungle
9731 = jungle
9338 = jungle
9339 = jungle
9340 = jungle
9341 = jungle
9342 = jungle
9343 = jungle
9344 = jungle
9345 = jungle
9346 = jungle
9347 = jungle
9348 = jungle
9349 = jungle
9350 = jungle
9351 = jungle
9352 = jungle
9353 = jungle
9354 = jungle
9355 = jungle
9356 = jungle
9363 = jungle
9358 = jungle
9359 = jungle
9360 = jungle
9361 = jungle
9362 = jungle
9357 = jungle
9689 = jungle
9690 = jungle
9691 = jungle
9692 = jungle
9693 = jungle
9694 = jungle
9695 = jungle
9696 = jungle
9697 = jungle
9698 = jungle
9699 = jungle
9700 = jungle
9701 = jungle
9702 = jungle
9703 = jungle
9704 = jungle
9705 = jungle
9706 = jungle
9732 = jungle
9733 = jungle
9734 = jungle
9735 = jungle
9736 = jungle
9737 = jungle
9738 = forest
9739 = forest
9740 = jungle
9741 = jungle
9742 = jungle
9743 = farmlands
9744 = forest
9745 = forest
9746 = forest
9747 = forest
9748 = forest
9749 = forest
9750 = jungle
9751 = forest
9752 = forest
9753 = jungle
9754 = jungle
9861 = jungle
9862 = wetlands
9863 = forest
9864 = forest
9865 = jungle
9866 = wetlands
9867 = jungle
9774 = plains
9775 = forest
9776 = jungle
9777 = jungle
9778 = hills
9779 = forest
9780 = jungle
9787 = forest
9788 = jungle
9789 = jungle
9790 = jungle
9791 = jungle
9792 = jungle
9781 = hills
9782 = forest
9783 = hills
9784 = hills
9785 = forest
9786 = jungle
9761 = forest
9762 = forest
9763 = jungle
9764 = jungle
9765 = jungle
9766 = jungle
9767 = jungle
9755 = jungle
9756 = jungle
9757 = forest
9758 = jungle
9759 = jungle
9760 = jungle
9768 = jungle
9769 = jungle
9770 = jungle
9771 = jungle
9772 = jungle
9773 = jungle
9632 = jungle
9633 = jungle
9634 = wetlands
9635 = wetlands
9636 = wetlands
9637 = the_bog
9638 = wetlands
9453 = wetlands
9454 = wetlands
9455 = jungle
9456 = jungle
9457 = jungle
9452 = jungle
9458 = wetlands
9626 = the_bog
9627 = the_bog
9628 = the_bog
9629 = wetlands
9630 = the_bog
9625 = wetlands
9631 = the_bog
9639 = wetlands
9640 = the_bog
9641 = the_bog
9642 = the_bog
9643 = the_bog
9644 = the_bog
9960 = urban
9961 = forest
9962 = forest
9963 = forest
9965 = forest
9964 = plains
9966 = forest
9967 = plains
9968 = forest
9969 = jungle
9970 = jungle
9971 = jungle
9972 = jungle
9973 = jungle
9974 = jungle
9975 = forest
9976 = forest
9977 = jungle
9978 = forest
9979 = forest
9980 = jungle
9981 = jungle
9982 = jungle
10055 = jungle
10054 = jungle
10056 = wetlands
10057 = jungle
10058 = jungle
10060 = jungle
10059 = jungle
10061 = jungle
10062 = jungle
10063 = jungle
10064 = jungle
10066 = wetlands
10067 = jungle
10065 = jungle
10068 = jungle
10069 = jungle
10070 = hills
10071 = forest
10072 = jungle
